game_id,possession_number,lineup_id,lineup_profile,tactic,opponent_style,opponent_strength,schedule_fatigue,late_clock,transition,clutch_context,spacing,creation,rim_pressure,defense,rebounding,ball_security,pace,shot_quality,turnover_pressure,defensive_risk,rebound_matchup,actual_points
1,0,L12,Late-clock creation group,switch_hunt,size,0.16759439386493727,0.21892052957220456,0.0,1.0,0.0,0.74,0.91,0.59,0.63,0.51,0.66,0.57,0.8124173643455852,0.39924791380100094,0.4466032391372238,0.5208505145898804,1.4430236334357949
1,1,L06,Balanced playoff-style unit,horns,switch,0.16759439386493727,0.21892052957220456,0.0,1.0,0.0,0.76,0.75,0.66,0.79,0.66,0.78,0.63,0.9011070180784364,0.31198171950854686,0.3270705241885133,0.581032900071971,1.5627405297577706
1,2,L11,Defensive glass control group,switch_hunt,size,0.16759439386493727,0.21892052957220456,0.0,0.0,0.0,0.58,0.57,0.62,0.86,0.92,0.69,0.49,0.6975266438618447,0.36571464563765893,0.2794546925161705,0.9323875287884352,0.9537574335738077
1,3,L04,Switch-heavy defensive group,post_split,zone,0.16759439386493727,0.21892052957220456,0.0,1.0,0.0,0.64,0.61,0.57,0.91,0.68,0.7,0.61,0.7655631525407074,0.29967019120973315,0.24668958158121435,0.6749242400056895,1.3719128689397344
1,4,L10,Player-development evaluation group,empty_corner,size,0.16759439386493727,0.21892052957220456,0.0,0.0,0.0,0.62,0.49,0.58,0.5,0.52,0.54,0.67,0.6783296793840031,0.401912305514896,0.476048072202227,0.5761743994130989,1.043458745218732
1,5,L03,Big frontcourt rebound unit,switch_hunt,drop,0.16759439386493727,0.21892052957220456,0.0,0.0,0.0,0.55,0.58,0.76,0.74,0.88,0.65,0.54,0.6041706508086602,0.34269445423999445,0.2891950096511366,0.7375560018416071,0.9056091023643735
1,6,L02,High creation guard unit,horns,size,0.16759439386493727,0.21892052957220456,0.0,0.0,0.0,0.73,0.88,0.67,0.57,0.47,0.62,0.76,0.7675068982008535,0.37701566831310984,0.48702475893374036,0.5315622675237787,1.267273224768485
1,7,L01,Spacing with two-way wings,horns,zone,0.16759439386493727,0.21892052957220456,0.0,0.0,0.0,0.87,0.72,0.61,0.78,0.58,0.74,0.69,0.7086588205997247,0.2714136543576855,0.31234102806569575,0.5957183173794333,1.1184648284297867
1,8,L08,Low-turnover veteran group,spread_pnr,pressure,0.16759439386493727,0.21892052957220456,0.0,0.0,0.0,0.69,0.68,0.55,0.69,0.59,0.91,0.52,0.6986392076167857,0.29311677693573013,0.33581734531244384,0.5511054419423032,0.9814441203328628
1,9,L09,Small-ball offensive group,switch_hunt,zone,0.16759439386493727,0.21892052957220456,1.0,0.0,0.0,0.91,0.76,0.54,0.48,0.36,0.69,0.79,0.6720447995343546,0.46740457385935674,0.5423828978144157,0.40597954366564215,0.7732613894920068
